Gene ID,TOOL,PRODUCT
protein_cluster_1,PFAM,protein of unknown function DUF1107
protein_cluster_10,,hypothetical protein
protein_cluster_100,,hypothetical protein
protein_cluster_1000,,hypothetical protein
protein_cluster_1001,PFAM,Orn/Lys/Arg decarboxylase major region
protein_cluster_1002,PFAM,Carbohydrate-selective porin OprB
protein_cluster_1003,HAMAP,Lysophospholipid transporter lplT
protein_cluster_1004,PFAM,Resolvase  domain-containing protein
protein_cluster_1005,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_1006,,hypothetical protein
protein_cluster_1007,HAMAP,NAD(P)H-quinone oxidoreductase subunit 4L
protein_cluster_1008,PFAM,integrase family protein
protein_cluster_1009,PFAM,protein of unknown function DUF29
protein_cluster_101,PFAM,Glycyl radical enzyme
protein_cluster_1010,TIGR,"RNA methyltransferase, TrmH family, group 3"
protein_cluster_1011,,hypothetical protein
protein_cluster_1012,TIGR,TMAO reductase system periplasmic protein TorT
protein_cluster_1013,PFAM,major facilitator superfamily MFS_1
protein_cluster_1014,PFAM,Baseplate J family protein
protein_cluster_1015,,hypothetical protein
protein_cluster_1016,,hypothetical protein
protein_cluster_1017,TIGR,"phage tail tape measure protein, lambda family"
protein_cluster_1018,PFAM,protein of unknown function DUF1043
protein_cluster_1019,PFAM,isochorismatase hydrolase
protein_cluster_102,TIGR,tol-pal system-associated acyl-CoA thioesterase
protein_cluster_1020,HAMAP,Protein tolB
protein_cluster_1021,PFAM,firmicute plasmid replication family protein
protein_cluster_1022,,hypothetical protein
protein_cluster_1023,HAMAP,DNA polymerase IV
protein_cluster_1024,,hypothetical protein
protein_cluster_1025,PFAM,EAL domain-containing protein
protein_cluster_1026,,hypothetical protein
protein_cluster_1027,,hypothetical protein
protein_cluster_1028,,hypothetical protein
protein_cluster_1029,PFAM,protein of unknown function YGGT
protein_cluster_103,,hypothetical protein
protein_cluster_1030,,hypothetical protein
protein_cluster_1031,PFAM,Benzoate membrane transport protein
protein_cluster_1032,,hypothetical protein
protein_cluster_1033,TIGR,type IV conjugative transfer system protein TraL
protein_cluster_1034,,hypothetical protein
protein_cluster_1035,,hypothetical protein
protein_cluster_1036,PFAM,TRAG family protein
protein_cluster_1037,,hypothetical protein
protein_cluster_1038,TIGR,"type III secretion effector delivery regulator, TyeA family"
protein_cluster_1039,PFAM,Protein of unknown function DUF2544
protein_cluster_104,PFAM,transcriptional activator Ogr/delta
protein_cluster_1040,TIGR,membrane-associated zinc metalloprotease
protein_cluster_1041,,hypothetical protein
protein_cluster_1042,PFAM,inositol monophosphatase
protein_cluster_1043,TIGR,"glycerol-3-phosphate dehydrogenase, anaerobic, A subunit"
protein_cluster_1044,PFAM,CheW domain protein
protein_cluster_1045,,hypothetical protein
protein_cluster_1046,PFAM,Pili assembly chaperone
protein_cluster_1047,PFAM,DinI family protein
protein_cluster_1048,PFAM,Protein of unknown function DUF2509
protein_cluster_1049,PFAM,RelA/SpoT domain protein
protein_cluster_105,,hypothetical protein
protein_cluster_1050,HAMAP,Potassium-transporting ATPase C chain
protein_cluster_1051,PFAM,ABC transporter related protein
protein_cluster_1052,PFAM,GntR domain protein
protein_cluster_1053,PFAM,glycosyl transferase group 1
protein_cluster_1054,,hypothetical protein
protein_cluster_1055,HAMAP,UPF0386 protein yjhX
protein_cluster_1056,TIGR,type IV conjugative transfer system coupling protein TraD
protein_cluster_1057,PFAM,GCN5-related N-acetyltransferase
protein_cluster_1058,PFAM,protein of unknown function DUF331
protein_cluster_1059,PFAM,NapC/NirT cytochrome c domain protein
protein_cluster_106,,hypothetical protein
protein_cluster_1060,PFAM,Mannitol dehydrogenase  domain-containing protein
protein_cluster_1061,PFAM,protein of unknown function DUF808
protein_cluster_1062,,hypothetical protein
protein_cluster_1063,TIGR,cyd operon protein YbgT
protein_cluster_1064,PFAM,secretion protein HlyD family protein
protein_cluster_1065,PFAM,ParB domain protein nuclease
protein_cluster_1066,,hypothetical protein
protein_cluster_1067,PFAM,Aspartyl/Asparaginyl beta-hydroxylase
protein_cluster_1068,PFAM,band 7 protein
protein_cluster_1069,PFAM,4Fe-4S ferredoxin iron-sulfur binding domain-containing protein
protein_cluster_107,HAMAP,Cell division protein zapB
protein_cluster_1070,PFAM,Integrase catalytic region
protein_cluster_1071,PFAM,protein of unknown function DUF1367
protein_cluster_1072,,hypothetical protein
protein_cluster_1073,TIGR,"formate dehydrogenase, alpha subunit"
protein_cluster_1074,PFAM,peptidase U34 dipeptidase
protein_cluster_1075,PFAM,DinI family protein
protein_cluster_1076,PFAM,GCN5-related N-acetyltransferase
protein_cluster_1077,HAMAP,Elongation factor P-like protein
protein_cluster_1078,,hypothetical protein
protein_cluster_1079,PFAM,D5 protein
protein_cluster_108,TIGR,rod shape-determining protein MreC
protein_cluster_1080,PFAM,helix-turn-helix domain protein
protein_cluster_1081,PFAM,RmuC-domain protein
protein_cluster_1082,PFAM,Aldose 1-epimerase
protein_cluster_1083,PFAM,NUDIX hydrolase
protein_cluster_1084,,hypothetical protein
protein_cluster_1085,,hypothetical protein
protein_cluster_1086,PFAM,polysaccharide export protein
protein_cluster_1087,PFAM,RNA-binding protein AU-1/Ribonuclease E/G
protein_cluster_1088,PFAM,glycoside hydrolase family 24
protein_cluster_1089,PFAM,molybdopterin oxidoreductase
protein_cluster_109,HAMAP,tRNA(Ile)-lysidine synthase
protein_cluster_1090,,hypothetical protein
protein_cluster_1091,,hypothetical protein
protein_cluster_1092,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_1093,,hypothetical protein
protein_cluster_1094,PFAM,RHS protein
protein_cluster_1095,,hypothetical protein
protein_cluster_1096,PFAM,peptidase M60 viral enhancin protein
protein_cluster_1097,PFAM,N-6 DNA methylase
protein_cluster_1098,HAMAP,Glyoxylate/hydroxypyruvate reductase A
protein_cluster_1099,,hypothetical protein
protein_cluster_11,,hypothetical protein
protein_cluster_110,PFAM,PfkB domain protein
protein_cluster_1100,PFAM,protein of unknown function DUF1778
protein_cluster_1101,,hypothetical protein
protein_cluster_1102,,hypothetical protein
protein_cluster_1103,PFAM,FaeA family protein
protein_cluster_1104,,hypothetical protein
protein_cluster_1105,,hypothetical protein
protein_cluster_1106,HAMAP,Nitric oxide reductase FlRd-NAD(+) reductase
protein_cluster_1107,TIGR,type III secretion system apparatus protein YscQ/HrcQ
protein_cluster_1108,PFAM,BolA family protein
protein_cluster_1109,PFAM,putative protein family YaiZ
protein_cluster_111,TIGR,"glutaredoxin, GrxB family"
protein_cluster_1110,,hypothetical protein
protein_cluster_1111,PFAM,5'-Nucleotidase domain-containing protein
protein_cluster_1112,PFAM,Colicin E1 (microcin) immunity protein
protein_cluster_1113,,hypothetical protein
protein_cluster_1114,PFAM,Radical SAM domain protein
protein_cluster_1115,PFAM,isochorismatase hydrolase
protein_cluster_1116,PFAM,GPW/gp25 family protein
protein_cluster_1117,HAMAP,tRNA sulfurtransferase
protein_cluster_1118,,hypothetical protein
protein_cluster_1119,,hypothetical protein
protein_cluster_112,,hypothetical protein
protein_cluster_1120,,hypothetical protein
protein_cluster_1121,PFAM,GPW/gp25 family protein
protein_cluster_1122,HAMAP, fructose-6-phosphate aldolase
protein_cluster_1123,PFAM,transcription elongation factor GreA/GreB domain-containing protein
protein_cluster_1124,PFAM,lipid A biosynthesis acyltransferase
protein_cluster_1125,PFAM,transcriptional regulator domain-containing protein
protein_cluster_1126,,hypothetical protein
protein_cluster_1127,PFAM,PfkB domain protein
protein_cluster_1128,,hypothetical protein
protein_cluster_1129,TIGR,"fumarate reductase, flavoprotein subunit"
